tactic,technique,subtechnique,Detection
Collection,Adversary-in-the-Middle,,"DS0024,DS0019,DS0029,DS0015"
Collection,Adversary-in-the-Middle,ARP Cache Poisoning,DS0029
Collection,Adversary-in-the-Middle,DHCP Spoofing,"DS0029,DS0015"
Collection,Adversary-in-the-Middle,Evil Twin,DS0029
Collection,Adversary-in-the-Middle,LLMNR/NBT-NS Poisoning and SMB Relay,"DS0024,DS0019,DS0029"
Collection,Archive Collected Data,,"DS0012,DS0009,DS0022,DS0017"
Collection,Archive Collected Data,Archive via Custom Method,"DS0012,DS0022"
Collection,Archive Collected Data,Archive via Library,"DS0012,DS0022"
Collection,Archive Collected Data,Archive via Utility,"DS0009,DS0022,DS0017"
Collection,Audio Capture,,"DS0009,DS0017"
Collection,Automated Collection,,"DS0002,DS0012,DS0022,DS0017"
Collection,Browser Session Hijacking,,"DS0009,DS0028"
Collection,Clipboard Data,,"DS0009,DS0017"
Collection,Data Staged,,"DS0024,DS0022,DS0017"
Collection,Data Staged,Local Data Staging,"DS0024,DS0022,DS0017"
Collection,Data Staged,Remote Data Staging,"DS0022,DS0017"
Collection,Data from Cloud Storage,,"DS0010,DS0025"
Collection,Data from Configuration Repository,,DS0029
Collection,Data from Configuration Repository,Network Device Configuration Dump,DS0029
Collection,Data from Configuration Repository,SNMP (MIB Dump),DS0029
Collection,Data from Information Repositories,,"DS0028,DS0015"
Collection,Data from Information Repositories,Code Repositories,"DS0028,DS0015"
Collection,Data from Information Repositories,Confluence,"DS0028,DS0015"
Collection,Data from Information Repositories,Customer Relationship Management Software,"DS0028,DS0015"
Collection,Data from Information Repositories,Messaging Applications,DS0015
Collection,Data from Information Repositories,Sharepoint,"DS0028,DS0025,DS0015"
Collection,Data from Local System,,"DS0012,DS0009,DS0022,DS0017"
Collection,Data from Network Shared Drive,,"DS0029,DS0033,DS0022,DS0017"
Collection,Data from Removable Media,,"DS0022,DS0017"
Collection,Email Collection,,"DS0029,DS0028,DS0022,DS0017,DS0015"
Collection,Email Collection,Email Forwarding Rule,"DS0017,DS0025,DS0015"
Collection,Email Collection,Local Email Collection,"DS0022,DS0017"
Collection,Email Collection,Remote Email Collection,"DS0029,DS0028,DS0017,DS0015"
Collection,Input Capture,,"DS0024,DS0009,DS0011,DS0022,DS0027,DS0017"
Collection,Input Capture,Credential API Hooking,"DS0009,DS0011,DS0022,DS0017"
Collection,Input Capture,GUI Input Capture,"DS0012,DS0009,DS0017"
Collection,Input Capture,Keylogging,"DS0024,DS0009,DS0027"
Collection,Input Capture,Web Portal Capture,DS0022
Collection,Screen Capture,,"DS0009,DS0017"
Collection,Video Capture,,"DS0009,DS0017"
Command and Control,Application Layer Protocol,,DS0029
Command and Control,Application Layer Protocol,DNS,DS0029
Command and Control,Application Layer Protocol,File Transfer Protocols,DS0029
Command and Control,Application Layer Protocol,Mail Protocols,DS0029
Command and Control,Application Layer Protocol,Publish/Subscribe Protocols,DS0029
Command and Control,Application Layer Protocol,Web Protocols,DS0029
Command and Control,Communication Through Removable Media,,DS0016
Command and Control,Content Injection,,"DS0009,DS0029,DS0022"
Command and Control,Data Encoding,,DS0029
Command and Control,Data Encoding,Non-Standard Encoding,DS0029
Command and Control,Data Encoding,Standard Encoding,DS0029
Command and Control,Data Obfuscation,,DS0029
Command and Control,Data Obfuscation,Junk Data,DS0029
Command and Control,Data Obfuscation,Protocol or Service Impersonation,DS0029
Command and Control,Data Obfuscation,Steganography,DS0029
Command and Control,Dynamic Resolution,,DS0029
Command and Control,Dynamic Resolution,DNS Calculation,DS0029
Command and Control,Dynamic Resolution,Domain Generation Algorithms,DS0029
Command and Control,Dynamic Resolution,Fast Flux DNS,DS0029
Command and Control,Encrypted Channel,,DS0029
Command and Control,Encrypted Channel,Asymmetric Cryptography,DS0029
Command and Control,Encrypted Channel,Symmetric Cryptography,DS0029
Command and Control,Fallback Channels,,DS0029
Command and Control,Hide Infrastructure,,"DS0029,DS0035,DS0038"
Command and Control,Ingress Tool Transfer,,"DS0029,DS0022,DS0017"
Command and Control,Multi-Stage Channels,,DS0029
Command and Control,Non-Application Layer Protocol,,DS0029
Command and Control,Non-Standard Port,,DS0029
Command and Control,Protocol Tunneling,,DS0029
Command and Control,Proxy,,DS0029
Command and Control,Proxy,Domain Fronting,DS0029
Command and Control,Proxy,External Proxy,DS0029
Command and Control,Proxy,Internal Proxy,DS0029
Command and Control,Proxy,Multi-hop Proxy,DS0029
Command and Control,Remote Access Tools,,"DS0009,DS0029,DS0016"
Command and Control,Remote Access Tools,IDE Tunneling,"DS0009,DS0029,DS0022"
Command and Control,Remote Access Tools,Remote Access Hardware,DS0016
Command and Control,Remote Access Tools,Remote Desktop Software,"DS0009,DS0029"
Command and Control,Traffic Signaling,,"DS0009,DS0029"
Command and Control,Traffic Signaling,Port Knocking,DS0029
Command and Control,Traffic Signaling,Socket Filters,"DS0009,DS0029"
Command and Control,Web Service,,DS0029
Command and Control,Web Service,Bidirectional Communication,DS0029
Command and Control,Web Service,Dead Drop Resolver,DS0029
Command and Control,Web Service,One-Way Communication,DS0029
Credential Access,Brute Force,,"DS0002,DS0017,DS0015"
Credential Access,Brute Force,Credential Stuffing,"DS0002,DS0015"
Credential Access,Brute Force,Password Cracking,"DS0002,DS0015"
Credential Access,Brute Force,Password Guessing,"DS0002,DS0015"
Credential Access,Brute Force,Password Spraying,"DS0002,DS0015"
Credential Access,Credentials from Password Stores,,"DS0009,DS0022,DS0017,DS0025"
Credential Access,Credentials from Password Stores,Cloud Secrets Management Stores,DS0025
Credential Access,Credentials from Password Stores,Credentials from Web Browsers,"DS0009,DS0022,DS0017"
Credential Access,Credentials from Password Stores,Keychain,"DS0009,DS0022,DS0017"
Credential Access,Credentials from Password Stores,Password Managers,"DS0009,DS0022,DS0017"
Credential Access,Credentials from Password Stores,Securityd Memory,"DS0009,DS0017"
Credential Access,Credentials from Password Stores,Windows Credential Manager,"DS0009,DS0022,DS0017"
Credential Access,Exploitation for Credential Access,,"DS0002,DS0009,DS0015"
Credential Access,Forced Authentication,,"DS0029,DS0022"
Credential Access,Forge Web Credentials,,"DS0006,DS0028"
Credential Access,Forge Web Credentials,SAML Tokens,"DS0006,DS0002,DS0009,DS0028"
Credential Access,Forge Web Credentials,Web Cookies,"DS0006,DS0028"
Credential Access,Modify Authentication Process,,"DS0024,DS0002,DS0009,DS0011,DS0028,DS0022,DS0025,DS0015,DS0026"
Credential Access,Modify Authentication Process,Conditional Access Policies,"DS0025,DS0026"
Credential Access,Modify Authentication Process,Domain Controller Authentication,"DS0009,DS0028,DS0022"
Credential Access,Modify Authentication Process,Hybrid Identity,"DS0011,DS0028,DS0022,DS0015"
Credential Access,Modify Authentication Process,Multi-Factor Authentication,"DS0002,DS0028,DS0015,DS0026"
Credential Access,Modify Authentication Process,Network Device Authentication,DS0022
Credential Access,Modify Authentication Process,Network Provider DLL,"DS0024,DS0009,DS0022"
Credential Access,Modify Authentication Process,Password Filter DLL,"DS0024,DS0011,DS0022"
Credential Access,Modify Authentication Process,Pluggable Authentication Modules,"DS0028,DS0022"
Credential Access,Modify Authentication Process,Reversible Encryption,"DS0002,DS0012,DS0017,DS0026"
Credential Access,Multi-Factor Authentication Interception,,"DS0024,DS0009,DS0027"
Credential Access,Multi-Factor Authentication Request Generation,,"DS0002,DS0028,DS0015"
Credential Access,OS Credential Dumping,,"DS0024,DS0009,DS0029,DS0022,DS0017,DS0026"
Credential Access,OS Credential Dumping,/etc/passwd and /etc/shadow,"DS0022,DS0017"
Credential Access,OS Credential Dumping,Cached Domain Credentials,DS0017
Credential Access,OS Credential Dumping,DCSync,"DS0029,DS0026"
Credential Access,OS Credential Dumping,LSA Secrets,"DS0024,DS0017"
Credential Access,OS Credential Dumping,LSASS Memory,"DS0024,DS0009,DS0028,DS0022,DS0017"
Credential Access,OS Credential Dumping,NTDS,"DS0022,DS0017"
